"Service Provider","Contact Name",Email,Website,"Primary Phone","Secondary Phone","Street Address",City,State,ZIP,Services,Borough,Certifications/Licenses,"Incentive Program Affiliation","General Description","Market Sectors","Number of Employees","Number of Years in Business","Building Size"
"Eastern Engineering Solution","Jan Wei",janchangwei@easternengineeringsolution.com,https://www.easternengineeringsolution.com/,718-673-0828,646-387-3881,"228 Park Ave S, PMB 741047","New York","New York",10003,"Audits/Study/Consultant, Controls/Energy Management Systems, Engineering/Design/Modeling, Energy Modeling, Engineering/Structural Engineering, Expediting, HVAC, Local Law 84, Local Law 87, LL88 (Verification/Filing), LL97 A321 (Verification/Filing), LL97 A321 (Install), LL97 A321 (Turnkey = Turnkey = Install, Verify, File), Mechanical/MEP, Prescriptive Pathway (All 13 PECM's), Retro-Commissioning, Turnkey Solutions","Brooklyn, Bronx, Queens, Staten Island","Certified Energy Manager, LEED AP Building Design + Construction (LEED AP BD+C), Registered Design Professional, Retro Commissioning Agent",,"We are a diversified engineering firm with a team of specialized technical experts. We are proud to offer creative and cost-effective solutions to our clients. From schematic design to project close-out, every aspect of the project is managed by a team of engineers and designers. This ensures the highest standard in the quality of design and project approach.

We have partnered with DecarbNYC Construction to provide an integrated solution that tackles NYC’s most important climate initiative, Local Law 97. Our goal is to provide an effective and flexible solution to help our clients meet and overcome the challenges of their projects.

​Now a proud participant in the NYC Accelerator Service Provider Program. As a NYC Accelerator Service Provider, we provide and support your projects to #decarbonize NYC, cut energy-related costs, and build a healthier city.

Contact us or contact NYC Accelerator for help implementing energy efficiency projects to reduce energy and water consumption:","Affordable Housing, Commercial and Industrial, Institutional, Multifamily Market Rate",1,11,"Small (0-50K sq. ft), Medium (50K-250K sq. ft)"
Efficiti,"Sina Jasteh",sina@efficiti.com,https://www.efficiti.com,917-498-7574,917-498-7574,"540 St Johns Place, #6g",Brooklyn,"New York",11238,"Audits/Study/Consultant, Boiler Services, Chilled Water Hot Water and Stream Distribution Systems, Domestic Hot Water, Engineering/Design/Modeling, Finance, Heat Pumps, HVAC, LL88 (Verification/Filing), LL97, LL97 A321 (Verification/Filing), Oil Switching, Retro-Commissioning","Brooklyn, Bronx, Manhattan, Queens, Staten Island","Registered Design Professional, Retro Commissioning Agent","Con Edison Small-Medium Business Program (SMB), Con Edison Multifamily Program (MFEEP), NYS Affordable Multifamily Energy Efficiency (AMEEP), NYSERDA FlexTech, NYSERDA Low Carbon Pathways for Multifamily Buildings, NYSERDA Clean Heat Program","Efficiti is an energy efficiency and engineering consulting company. We focus on design, management and implementation of innovative deep energy retrofit and electrification solutions to save you money and comply with local laws such as local law 97. Working with Efficiti you will also get access to the maximum rebates, incentives and tax credits possible to make projects more affordable for your building.

Design and implementation of Heat Pump systems for space heating and cooling and water heating (HPWH) is our specialty.

In addition, we provide: Inspections, Commissioning, DOB Filing and Expediting, Energy Modeling, 3D building modeling, LL97 building square footage verification, LL97 filing A320 and A321, LL97 compliance, LL87, LL88 compliance, FlexTech study, ASHRAE Level 2 energy audit, Owner's representation and project management.

Efficiti is a DOB Certified Inspection Agency and ASHRAE Retro Commissioning Agent.","Affordable Housing, Commercial and Industrial, Multifamily Market Rate",3,3,"Small (0-50K sq. ft), Medium (50K-250K sq. ft)"
"EMCOR Services New York/New Jersey","Thomas Hall",tomhall@emcor.net,https://emcorservicesnynj.com,973-865-2733,516-727-4450,"5 Dakota Dr Suite 111","New Hyde Park","New York",11042,"Air Sealing/Weatherization, Audits/Study/Consultant, Boiler Services, Building Envelope/Roof Services, Building Representatives, Chilled Water Hot Water and Stream Distribution Systems, Controls/Energy Management Systems, Cool Roof, Domestic Hot Water, EC Motors, Elevator/Motors, Elevator Modernization, Engineering/Design/Modeling, Energy Modeling, Energy Storage, Equipment Vendor/Manufacturer, EV Charging Station, Expediting, Finance, Geothermal, Green Roof, Heat Pumps, HVAC, Hydronic Heating, Insulation, Lighting, Local Law 84, Local Law 87, LL97, Master Venting, Mechanical/MEP, Packaged Terminal Air, Pipe Insulation, Retro-Commissioning, Roofing, Steam Heating, Turnkey Solutions, Water Conservation","Brooklyn, Bronx, Manhattan, Queens, Staten Island","Registered Design Professional","National Grid General Rebates, NYSERDA FlexTech, NYSERDA Clean Heat Program","EMCOR simplifies the complexity of a project by providing a fully funded, end-to-end LL97 sustainability solution while leveraging the funding from federal and utility grants and rebates. They provide the competitive funding, expertise, resources, and management needed to implement energy efficiency and sustainability installations across multiple sites simultaneously. This frees up capital and resources to focus on your core business. Unlike other energy efficiency or sustainability providers,  EMCOR manages the funding,  procurement,  and self-performs the project installation and maintenance. They take on the risk,  whether it, related to cost overruns,  rebate collection,  technology performance,  or ongoing maintenance. Through their innovative portfolio-based deployment model,  EMCOR drives proven large-scale savings and full turnkey solutions as well as cool roof.","Commercial and Industrial, Healthcare, Institutional, Multifamily Market Rate",64,24,"Medium (50K-250K sq. ft)"
"Empowered Buildings","Craig Tamchin",info@empoweredbuildings.com,https://www.empoweredbuildings.com,212-857-6925,914-584-6829,"227 East 58 St. 2nd Floor","New York","New York",10022,"Audits/Study/Consultant, Boiler Services, Building Representatives, Chilled Water Hot Water and Stream Distribution Systems, Controls/Energy Management Systems, Data Platform/Data as a Service, Domestic Hot Water, Engineering/Design/Modeling, Energy Modeling, Engineering/Structural Engineering, EV Charging Station, Heat Pumps, HVAC, Lighting, Local Law 84, Local Law 87, LL88 (Verification/Filing), LL88 (Install), LL88 (Turnkey = Turnkey = Install, Verify, File), LL97, LL97 A321 (Verification/Filing), LL97 A321 (Install), LL97 A321 (Turnkey = Turnkey = Install, Verify, File), Master Venting, Passive House, Pipe Insulation, Retro-Commissioning, Steam Heating, Turnkey Solutions, Water Conservation","Brooklyn, Bronx, Manhattan, Queens, Staten Island","Registered Design Professional","Con Edison Multifamily Program (MFEEP), Con Edison Commercial and Industrial (C&I), National Grid Multifamily Program, NYS Affordable Multifamily Energy Efficiency (AMEEP), NYSERDA Real Time Management Program (RTEM), NYSERDA Clean Heat Program","Empowered Buildings is committed to helping NYC achieve its goal of carbon neutrality by 2050. They partner with building owners, engineers, and sustainability managers to identify inefficiencies within buildings. Their staff of Professional Engineers, Technologists and Energy Efficiency Professionals then collaborate to provide custom energy efficiency solutions for customers.  Their success lies in leveraging building data, analytics, and automation, then taking action to improve energy efficiency, reduce carbon emissions, lower energy costs, enhance occupancy comfort, and provide a pathway for Local Law 97 compliance. Empowered Buildings can be reached at 1-877-LOCAL97.","Affordable Housing, Commercial and Industrial, Healthcare, Institutional, Multifamily Market Rate",16,2,"Small (0-50K sq. ft), Medium (50K-250K sq. ft)"
"EN-POWER GROUP","Michael Scorrano",mvscorrano@enpg.com,https://www.enpg.com,914-263-1199,914-420-6507,"155 East 56th Street, 3rd Floor","New York","New York",10022,"Audits/Study/Consultant, Boiler Services, Building Envelope/Roof Services, Chilled Water Hot Water and Stream Distribution Systems, Controls/Energy Management Systems, Domestic Hot Water, EC Motors, Elevator/Motors, Elevator Modernization, Engineering/Design/Modeling, Energy Modeling, Energy Storage, Engineering/Structural Engineering, Equipment Vendor/Manufacturer, EV Charging Station, Expediting, Geothermal, Green Roof, Gross Floor Area Measurement, Heat Pumps, HVAC, Hydronic Heating, Insulation, Lighting, Local Law 84, Local Law 87, LL88 (Verification/Filing), LL88 (Install), LL88 (Turnkey = Turnkey = Install, Verify, File), LL97, LL97 A321 (Verification/Filing), Master Venting, Mechanical/MEP, Oil Switching, Packaged Terminal Air, Passive House, Retro-Commissioning, Roofing, Steam Heating, Turnkey Solutions, Ventilation, Water Conservation, Windows/Fenestration","Brooklyn, Bronx, Manhattan, Queens, Staten Island","Registered Design Professional","Con Edison Small-Medium Business Program (SMB), Con Edison Commercial and Industrial (C&I), Con Edison Instant Lighting Incentive Program (ILIP), National Grid Multifamily Program, National Grid General Rebates, NYS Affordable Multifamily Energy Efficiency (AMEEP), NYSERDA FlexTech, NYSERDA MPP, NYSERDA Low Carbon Pathways for Multifamily Buildings, NYSERDA Real Time Management Program (RTEM), NYSERDA NY-Sun Program, NYSERDA Charge Ready NY Program, NYSERDA Clean Heat Program, NYSERDA Clean Heating and Cooling Screenings for Large Buildings","ABOUT US: EN-POWER GROUP is an engineering firm founded in May 2003 in response to the growing demands for effective, integrated energy management and decarbonization solutions. We are an experienced, interdisciplinary team of engineers, energy managers, analysts, and sustainability experts with extensive training and years of experience providing comprehensive energy management and engineering strategies, services, and solutions across a broad range of market sectors. 

WHAT WE DO: We develop, deploy, and deliver low-risk, high-return energy and engineering projects designed to reduce energy consumption, reduce carbon emissions, optimize efficiency, and control costs. We specialize in the overall evaluation, engineering, and implementation of major energy projects, with a particular focus on financing and the consolidation of available incentives and rebates. 

OUR MISSION: We apply practical solutions to our client's complex energy needs to maximize savings and reduce source environmental impacts across all markets we serve. 

OUR APPROACH: Because every facility is different, we work closely with each client to develop a full understanding of their individual needs before crafting a customized energy reduction and decarbonization strategy that is tailored to their unique set of circumstances and challenges. Our overall approach is simple: we keep our clients’ best interests in mind, focusing on the measures that provide the best overall return to their bottom line.","Affordable Housing, Commercial and Industrial, Healthcare, Institutional, Multifamily Market Rate, Small-Medium Businesses",60,20,"Medium (50K-250K sq. ft)"
"Entuitive Engineering DPC","Giulia Alimonti - Vice President Building Envelope",giulia.alimonti@entuitive.com,https://www.entuitive.com,646-856-4581,914-255-4758,"28 W 44th Street, Suite 1118","New York","New York",10036,"Architecture, Audits/Study/Consultant, Building Envelope/Roof Services, Engineering/Design/Modeling, Energy Modeling, Green Roof, Insulation, LL97, LL97 A321 (Verification/Filing), Passive House, Retro-Commissioning, Roofing, Windows/Fenestration","Brooklyn, Bronx, Manhattan, Queens, Staten Island","Registered Design Professional",,"With more than 315 team members, our services encompass integrated Structural Engineering, Building Envelope, Sustainable Performance Analysis, Restoration, Advanced Performance Analysis, Pedestrian Modelling, Bridge Design, Construction Engineering, and Fire Engineering consulting services for both new and existing structures across six offices and two countries. We are passionate about providing exceptional service on every project we work on – from small-scale projects to billion-dollar landmark structures anywhere in the world.  We also work with Co-ops and Condos.  Architecture. Fenestration, Roofing, Insulation, Weatherization, FISP Reports, Parking Structure Reports, Passive house, Retro Commissioning, LL97.","Affordable Housing, Commercial and Industrial, Healthcare, Institutional, Multifamily Market Rate",300,13,"Medium (50K-250K sq. ft)"
"EP Engineering LLC","Erin Martinez",erin@epengineering.com,https://www.epengineering.com,646-681-9704,212-257-6190,"100 William Street Suite 1205","New York","New York",10038,"Audits/Study/Consultant, Chilled Water Hot Water and Stream Distribution Systems, Controls/Energy Management Systems, Domestic Hot Water, Engineering/Design/Modeling, EV Charging Station, Expediting, Geothermal, Heat Pumps, HVAC, Hydronic Heating, Lighting, Local Law 84, Local Law 87, LL88 (Verification/Filing), LL97 A321 (Verification/Filing), Mechanical/MEP, Packaged Terminal Air, Passive House, Pipe Insulation, Retro-Commissioning, Steam Heating, Ventilation","Brooklyn, Bronx, Manhattan, Queens, Staten Island","Registered Design Professional, Retro Commissioning Agent",,"Engineering, Mechanical/MEP and Energy consultants. We provide LL97 building analysis assessment reports, benchmarking and annual DO submissions. We also offer design services to aid in local law 97 compliance. We provide LL97 building analysis assessment reports, benchmarking and annual DO submissions. We also offer design services to aid in local law 97 compliance.","Affordable Housing, Commercial and Industrial, Institutional, Multifamily Market Rate",24,19,"Small (0-50K sq. ft), Medium (50K-250K sq. ft), Large (250K+ sq. ft)"
"Falcon Engineering dba The Falcon Group","Ken Mahadeo",kmahadeo@falconengineering.com,https://www.thefalcongroup.us,917-860-2181,646-780-7240,"350 7th Avenue","New York","New York",10010,"Audits/Study/Consultant, Bioheat Fuels, Boiler Services, Building Envelope/Roof Services, Building Representatives, Chilled Water Hot Water and Stream Distribution Systems, Controls/Energy Management Systems, Domestic Hot Water, EC Motors, Elevator/Motors, Elevator Modernization, Engineering/Design/Modeling, EV Charging Station, Expediting, Geothermal, Heat Pumps, HVAC, Hydronic Heating, Insulation, Legal, Lighting, Local Law 84, Local Law 87, LL88 (Verification/Filing), LL88 (Install), LL88 (Turnkey = Turnkey = Install, Verify, File), LL97, LL97 A321 (Verification/Filing), LL97 A321 (Install), LL97 A321 (Turnkey = Turnkey = Install, Verify, File), Master Venting, Mechanical/MEP, Oil Switching, Packaged Terminal Air, Passive House, Pipe Insulation, Retro-Commissioning, Roofing, Steam Heating, Ventilation, Water Conservation, Windows/Fenestration","Brooklyn, Bronx, Manhattan, Queens, Staten Island","Registered Design Professional",,"Local Law 84,87,88,97, Energy Audits, Commissioning, Retro Commissioning, Full MEP Services, HVAC, Electrical, Plumbing, Deep Energy Retrofits, Envelope, Boilers, BAS/BMS, Controls, Boiler Upgrades and Fuel conversion, Blower Door and Duct Leakage Testing, Envelope Cx, Lighting, Heat Pumps, VRF, Electrification and Decarbonization Studies, EV Chargers, Electrical Infrastructure Condition Assessments, Electric Service Upgrades, Training, Domestic Hot Water Heat Pump Systems, Solar PV design and Installation, Elevators, VFD, Air and Water Handling Systems Design, Electrical Load Studies. Chillers- air and water cooled, Dedicated Outside Air Systems, Ventilation Systems.","Affordable Housing, Commercial and Industrial, Healthcare, Institutional, Multifamily Market Rate",151,30,"Medium (50K-250K sq. ft)"
"FEAT Solutions","Robert M. Peras",rperas@featsolutions.co,https://www.featsolutions.co,347-628-8194,,"31-00 47TH Avenue, Suite 3100","Long Island City","New York",11101,"Audits/Study/Consultant, Building Representatives, Controls/Energy Management Systems, Lighting, Local Law 84, Local Law 87, LL88 (Verification/Filing), LL88 (Install), LL88 (Turnkey = Turnkey = Install, Verify, File), Maintenance, Pipe Insulation, Prescriptive Pathway (All 13 PECM's), Turnkey Solutions","Brooklyn, Bronx, Manhattan, Queens","Registered Design Professional",,"FEAT Solutions is dedicated to providing expert consulting services in Facilities Maintenance and Optimization, Energy Efficiency, Building Automation, and Technology.

Instead of just recommending energy efficiency upgrades or electrification, we aim to minimize energy consumption through the optimization of the existing HVAC, lighting, and control systems. This means that our best customers are those buildings (any type and size) who are just looking to reduce their existing energy consumption and those buildings who are expected to face smaller LL97 fines.

Energy Management and Optimization Services
-Monthly Utility Review and Resolution
-BMS/HVAC/Boiler/Chiller Review and Optimization
-Energy Procurement and Utility Incentive Management

NYC Local Law Compliance
-Local Law 84/133 Energy Benchmarking
-Local Law 87 Energy Audit & Retro Commissioning
-Local Law 88 Lighting Upgrades & Submetering
-Local Law 97 Greenhouse Gas Reporting","Commercial and Industrial, Multifamily Market Rate",1,1,"Small (0-50K sq. ft), Medium (50K-250K sq. ft), Large (250K+ sq. ft)"
"Goldman Copeland Associates, Engineers, P.C.","Tristan Schwartzman",tschwartzman@goldmancopeland.com,https://www.goldmancopeland.com,212-868-4660,646-864-0717,"229 West 36th Street, 7th Floor","New York","New York",10018,"Audits/Study/Consultant, Boiler Services, Building Envelope/Roof Services, Chilled Water Hot Water and Stream Distribution Systems, Controls/Energy Management Systems, Domestic Hot Water, EC Motors, Elevator/Motors, Elevator Modernization, Engineering/Design/Modeling, Energy Modeling, Energy Storage, Engineering/Structural Engineering, EV Charging Station, Geothermal, Heat Pumps, HVAC, Hydronic Heating, Insulation, Lighting, Mechanical/MEP, Packaged Terminal Air, Passive House, Pipe Insulation, Retro-Commissioning, Steam Heating, Water Conservation, Windows/Fenestration","Brooklyn, Bronx, Manhattan, Queens, Staten Island","Registered Design Professional","Con Edison Commercial and Industrial (C&I), NYSERDA FlexTech, NYSERDA MPP, NYSERDA On Site Energy Manager (OSEM), NYSERDA Real Time Management Program (RTEM)","Goldman Copeland has provided superior mechanical, electrical, plumbing and fire protection (MEP/FP), energy consulting, and engineering to its many clients. Specific areas of expertise include detailed engineering and design, fit-out projects, feasibility studies and building master plans, condition surveys of existing facilities, and technical services during construction. The firm has extensive experience in the assessment, renovation, and remediation of MEP/FP systems in existing buildings, as well as new construction projects. Goldman Copeland also has strong energy engineering capabilities (commissioning, retro-commissioning, energy audits, energy modeling, economic analysis, technical feasibility, cost estimating, LEED certification support), as a specialty within its broader MEP design practice.","Affordable Housing, Commercial and Industrial, Healthcare, Institutional, Multifamily Market Rate, Small-Medium Businesses",65,54,"Medium (50K-250K sq. ft)"
"Green Banyan Consulting, LLC","Vinay Ananthachar, Principal/Founder",vinay@greenbanyanconsulting.com,https://www.greenbanyanconsulting.com,860-754-8102,,"157 Church Street","New Haven",Connecticut,06510,"Audits/Study/Consultant, Controls/Energy Management Systems, Energy Modeling, Energy Storage, EV Charging Station","Brooklyn, Bronx, Manhattan, Queens, Staten Island","Certified Energy Manager, Minority Owned Business Enterprise (MBE), Registered Design Professional","Con Edison Commercial and Industrial (C&I)","GBC provides energy analysis, audit, energy efficiency solutions for multifamily and commercial properties. We serve several utility clients across the Northeast region, providing services in energy efficiency incentives, engineering support, measurement and verification (M&V), and third-party verification. The company’s solutions help improve building efficiency, generate economic benefits, and help fight climate change. GBC staff includes professional engineers, certified energy managers, and ASHRAE high-performance building design professionals. GBC staff have conducted more than (5000+) field visits and 500+ engineering reviews of large C&I projects. Our staff has hands-on experience modeling, specifying, and installing virtually every type of energy conservation measure (ECM), from low-flow showerheads to solar PV, in both multifamily and commercial spaces.","Commercial and Industrial, Healthcare, Institutional",4,8,"Small (0-50K sq. ft), Medium (50K-250K sq. ft), Large (250K+ sq. ft)"
"Greenwich Energy Solutions, Inc.","Stephen Hughes",shughes@greenwichenergysolutions.com,https://www.greenwichenergysolutions.com,347-853-7822,917-757-0584,"252 Java Street, Suite 209",Brooklyn,"New York",11222,"Audits/Study/Consultant, Boiler Services, Building Envelope/Roof Services, Building Representatives, Chilled Water Hot Water and Stream Distribution Systems, Controls/Energy Management Systems, Domestic Hot Water, EC Motors, Engineering/Design/Modeling, Energy Modeling, Energy Storage, Engineering/Structural Engineering, EV Charging Station, Geothermal, Heat Pumps, HVAC, Hydronic Heating, Insulation, Lighting, LL88 (Verification/Filing), LL88 (Install), LL88 (Turnkey = Turnkey = Install, Verify, File), LL97, LL97 A321 (Verification/Filing), LL97 A321 (Install), LL97 A321 (Turnkey = Turnkey = Install, Verify, File), Mechanical/MEP, Oil Switching, Packaged Terminal Air, Pipe Insulation, Retro-Commissioning, Steam Heating, Water Conservation, Windows/Fenestration","Brooklyn, Bronx, Manhattan, Queens","Registered Design Professional, Retro Commissioning Agent","Con Edison Multifamily Program (MFEEP), NYSERDA FlexTech, NYSERDA MPP, NYSERDA Low Carbon Pathways for Multifamily Buildings","Greenwich Energy Solutions provides energy efficiency consulting and project management to identify and implement proven methods of reducing energy use and decarbonizing buildings. The firm focuses on holistic advisory, looking at long-term outlook and results to drive sound decision making. Building Representative, Owner Representative, LL84, LL87, LL88, LL97.  Also Co-op and Condo Board consultants.","Affordable Housing, Commercial and Industrial, Healthcare, Institutional, Multifamily Market Rate",5,15,"Medium (50K-250K sq. ft)"
"Grid & Energy Masterplanning, LLC","Leahanna Gairbekova",leahanna@gemmasterplanning.com,https://www.gemmasterplanning.com,838-783-0656,610-905-5187,"1 West Broad Street",Bethlehem,Pennsylvania,18018,"Air Sealing/Weatherization, Audits/Study/Consultant, Building Representatives, Cool Roof, Domestic Hot Water, EC Motors, Elevator Modernization, Engineering/Design/Modeling, Energy Modeling, Energy Storage, Engineering/Structural Engineering, Equipment Vendor/Manufacturer, EV Charging Station, Geothermal, Green Roof, Heat Pumps, HVAC, Hydronic Heating, Insulation, Lighting, Local Law 84, Local Law 87, LL97, Mechanical/MEP, Packaged Terminal Air, Passive House, Pipe Insulation, Steam Heating, Water Conservation, Windows/Fenestration","Brooklyn, Bronx, Manhattan, Queens, Staten Island","Registered Design Professional, Retro Commissioning Agent, Veteran Owned Business Enterprise (VBE)",,"GEMM offers energy master planning services that allow companies to customize their service needs to meet their goals. Our main service offerings are executive support, technical planning, and financial advisory from project inception to completion which are tied into one Energy Master Plan. Our Energy Master Plan encompasses recommended Energy Improvement Measures (EIMs), multiple financial avenues (self-funding, C-PACE, etc.) and presents available incentives and energy savings that offset costs. This can also include Carrier HAP energy modeling and engineering services as required by state customers. We provide energy services from project concept to maintenance and commissioning as needed by the program and/or customer. This allows building owners to make informed decisions to seamlessly transform their buildings to meet their energy, resilience, and wellness goals.  We also offer Financial Advisory/ Incentives. Local Law 84
Local Law 87, Local Law 88, Local Law 97 and cool roof.","Affordable Housing, Commercial and Industrial, Healthcare, Institutional, Multifamily Market Rate",6,3,"Medium (50K-250K sq. ft)"
"H2M Architects and Engineers","Alexander Hochhausl",ahochhausl@h2m.com,https://www.h2m.com,631-756-8000,631-392-5264,"230 W 38th St 14th floor","New York","New York",10018,"Architecture, Audits/Study/Consultant, Building Envelope/Roof Services, Chilled Water Hot Water and Stream Distribution Systems, Controls/Energy Management Systems, Domestic Hot Water, Elevator Modernization, Engineering/Design/Modeling, Energy Modeling, Energy Storage, Engineering/Structural Engineering, EV Charging Station, Expediting, Geothermal, Green Roof, Heat Pumps, HVAC, Hydronic Heating, Insulation, Lighting, Local Law 84, Local Law 87, LL97, Mechanical/MEP, Packaged Terminal Air, Pipe Insulation, Retro-Commissioning, Roofing, Steam Heating, Water Conservation, Windows/Fenestration","Brooklyn, Bronx, Manhattan, Queens, Staten Island","Registered Design Professional",,"H2M offers full-service mechanical, electrical, structural, architectural design, bidding, permitting, and construction observation, all in-house. H2M has vast experience in energy modelling, specializes in renovations of existing buildings, and is always engaged with developing technologies and their implementation. Lighting, Local Law 84 (LL84), Local Law 87 (LL87), Local Law 88 (LL88), Local Law 97 (LL97), Packaged Terminal Air Conditioner","Affordable Housing, Commercial and Industrial, Healthcare, Institutional",500,90,"Medium (50K-250K sq. ft)"
"Harris Energy Solutions, LLC","Jessica Harris",jess.harris@harrisenergysolutionsllc.com,https://www.harrisenergysolutionsllc.com,512-762-5007,512-596-1408,"310 W Main Street","Round Rock",Texas,78664,"Audits/Study/Consultant, Bioheat Fuels, Building Envelope/Roof Services, Chilled Water Hot Water and Stream Distribution Systems, Controls/Energy Management Systems, Engineering/Design/Modeling, Energy Modeling, Energy Storage, Engineering/Structural Engineering, EV Charging Station, Geothermal, Green Roof, Heat Pumps, HVAC, Hydronic Heating, Insulation, Lighting, LL88 (Verification/Filing), LL97 A321 (Verification/Filing), Mechanical/MEP, Oil Switching, Packaged Terminal Air, Pipe Insulation, Steam Heating, Water Conservation, Windows/Fenestration","Brooklyn, Bronx, Manhattan, Queens, Staten Island","Certified Energy Manager, Minority and Women Owned Business Enterprise (MWBE), Minority Owned Business Enterprise (MBE), Registered Design Professional, Women Owned Business Enterprise (WBE)","NYSERDA MPP","The team at Harris Energy Solutions is made up of Mechanical Engineers, Professional Engineers, Certified Energy Managers, and Facilities Specialists. The firm has extensive experience and expertise in all aspects of energy management, including energy efficiency analysis, energy master planning, alternative energy sources, and building commissioning. Energy consulting. HES has extensive experience and expertise in all aspects of energy management, including energy efficiency analysis, energy master planning, alternative energy sources, and building commissioning.","Affordable Housing, Commercial and Industrial, Healthcare, Institutional, Multifamily Market Rate, Small-Medium Businesses",7,5,"Small (0-50K sq. ft), Medium (50K-250K sq. ft)"
"Howard L Zimmerman Architects & Engineers D.P.C.","Jon Colatrella",jcolatrella@hlzimmerman.com,https://www.hlzimmerman.com,212-204-7232,973-296-9624,"11 W 30th St 3rd Floor","New York","New York",10001,"Architecture, Audits/Study/Consultant, Boiler Services, Building Envelope/Roof Services, Building Representatives, Chilled Water Hot Water and Stream Distribution Systems, Controls/Energy Management Systems, Cool Roof, Domestic Hot Water, Elevator/Motors, Engineering/Design/Modeling, Energy Modeling, Engineering/Structural Engineering, EV Charging Station, Expediting, Geothermal, Green Roof, Gross Floor Area Measurement, Heat Pumps, HVAC, Hydronic Heating, Insulation, Lighting, Local Law 84, Local Law 87, LL88 (Verification/Filing), LL97, LL97 A321 (Verification/Filing), Mechanical/MEP, Packaged Terminal Air, Pipe Insulation, Retro-Commissioning, Steam Heating, Water Conservation, Windows/Fenestration","Brooklyn, Manhattan, Queens","Registered Design Professional",,"Howard L Zimmerman offers heating and chiller plant upgrades, cooling tower and condenser water system upgrades, packaged and terminal HVAC unit design, cogeneration plant design (combined heat & power), physical condition assessments of existing building MEP/S systems, domestic hot and cold-water piping, pipe insulation, pumping and distribution system upgrades, electrical services, switchgear and distribution system design and upgrades, energy audits and retro-commissioning, emergency back-up generator design, and gas piping distribution inspections. Lighting, Local Law 84 (LL84), Local Law 87 (LL87), Local Law 88 (LL88), Local Law 97 (LL97) and cool roof.","Commercial and Industrial, Healthcare, Institutional, Multifamily Market Rate",110,40,"Medium (50K-250K sq. ft)"
"IAG Energy, LLC","Aron Parnes, CEO",aparnes@iagenegry.com,https://www.iagenergy.com/,212-235-5612,516-491-8000,"244 Fifth Ave, Suite G277","New York","New York",10001,"Air Sealing/Weatherization, Audits/Study/Consultant, Boiler Services, Building Representatives, EV Charging Station, Insulation, Lighting, LL88 (Turnkey = Turnkey = Install, Verify, File), LL97 A321 (Turnkey = Turnkey = Install, Verify, File), Pipe Insulation, Retro-Commissioning, Steam Heating, Turnkey Solutions","Brooklyn, Bronx, Manhattan, Queens, Staten Island","Registered Design Professional, Retro Commissioning Agent","Con Edison Multifamily Program (MFEEP)","Compliance for various Local Laws including 84/133, 33/95, 87, 88 and 97.
Energy Auditing, Energy Rebates, Consulting. Energy Upgrade Implementation. We also offer Steam Heating, Master Venting, Pipe Insulation, Prescriptive Pathway (All 13 PECM's)","Affordable Housing, Commercial and Industrial, Healthcare, Institutional, Multifamily Market Rate",25,12,"Small (0-50K sq. ft)"
"INF Associates, LLC","Shan Hemwani",shan@infassociates.com,http://www.infassociates.com,845-242-9202,845-242-9202,"1116 Main Street",Fishkill,"New York",12524,"Audits/Study/Consultant, Building Envelope/Roof Services, Controls/Energy Management Systems, Engineering/Design/Modeling, Energy Modeling, Energy Storage, Engineering/Structural Engineering, Equipment Vendor/Manufacturer, EV Charging Station, Heat Pumps, HVAC, Hydronic Heating, Lighting, LL97, Turnkey Solutions","Brooklyn, Bronx, Manhattan, Queens, Staten Island","Registered Design Professional","Con Edison Small-Medium Business Program (SMB), Con Edison Multifamily Program (MFEEP), Con Edison Commercial and Industrial (C&I), Con Edison Instant Lighting Incentive Program (ILIP), National Grid Multifamily Program, National Grid General Rebates, NYS Affordable Multifamily Energy Efficiency (AMEEP), NYSERDA FlexTech, NYSERDA MPP, NYSERDA Low Carbon Pathways for Multifamily Buildings, NYSERDA On Site Energy Manager (OSEM)","INF Associates is a turnkey facility and energy solutions company that specializes in providing energy solutions to the residential, commercial, banking, hospitality and healthcare markets. Our strategy from day-one has been to connect our clients with the appropriate, brand-neutral engineered solutions and incentive programs. This is perhaps a different approach than cases where providers develop a specific solution and try to force a market need. 

We have developed numerous Electric Vehicle Supply Equipment (EVSE) and custom energy-efficiency solutions such as BMS and controls upgrades, mechanical and lighting retrofits, and renewable energy installations for clients that include Blackstone, Morgan Stanley, RXR Realty, Barclays, Durst Organization, Empire State Realty Trust, Fisher Brothers, and more.  

Our portfolio of services is customized to meet our client, energy needs, including installation, service, maintenance, and post-upgrade care services. We provide achievable solutions and maximum realized savings. Our services also include compliance for Local Law 84, Local Law 88, Local Law 97 and ASHRAE audit.","Affordable Housing, Commercial and Industrial, Healthcare, Institutional, Multifamily Market Rate",12,56,"Medium (50K-250K sq. ft)"
